,LEA_NAME,G09,G10,G11,G12,G13,UG,AE,TOTAL_STUDENTS,STUDENTS_IN_POVERTY,DISTRICT_POVERTY_RATE,AVG_SCHOOL_POVERTY_RATE
107,Mount Baker School District,119.0,144.0,129.0,136.0,,,,528.0,264.0,0.5,0.5
108,Mount Vernon School District,513.0,493.0,474.0,475.0,,,,1957.0,1187.0,0.6065406234031682,0.6065406234031682
109,Mukilteo School District,1143.0,1173.0,1211.0,1180.0,,,,4707.0,2078.0,0.4414701508391757,0.5157972689487025
110,Naches Valley School District,97.0,98.0,95.0,86.0,,,,376.0,181.0,0.48138297872340424,0.48138297872340424
111,Napavine School District,74.0,65.0,55.0,55.0,,,,396.0,164.0,0.41414141414141414,0.41414141414141414
112,Naselle-Grays River Valley School District,28.0,26.0,20.0,23.0,,,,176.0,94.0,0.5340909090909091,0.5340909090909091
113,Newport School District,92.0,80.0,94.0,83.0,,,,349.0,194.0,0.5558739255014327,0.5558739255014327
114,Nine Mile Falls School District,118.0,112.0,132.0,122.0,,,,484.0,110.0,0.22727272727272727,0.22727272727272727
115,Nooksack Valley School District,129.0,123.0,104.0,119.0,,,,475.0,249.0,0.5242105263157895,0.5242105263157895
116,North Beach School District No. 64,48.0,42.0,50.0,52.0,,,,192.0,133.0,0.6927083333333334,0.6927083333333334
117,North Franklin School District,154.0,172.0,168.0,135.0,,,,629.0,450.0,0.7154213036565977,0.7154213036565977
118,North Kitsap School District,410.0,352.0,409.0,415.0,,,,1586.0,428.0,0.2698612862547289,0.28394980905619205
119,North Mason School District,136.0,170.0,167.0,174.0,,,,647.0,319.0,0.49304482225656876,0.49304482225656876
120,North Thurston Public Schools,1136.0,1102.0,1074.0,1123.0,,,,4435.0,1734.0,0.39098083427282976,0.4279918800819362
121,Northshore School District,1851.0,1740.0,1645.0,1716.0,,,,6952.0,812.0,0.11680092059838895,0.10994563442587921
122,Oak Harbor School District,379.0,362.0,382.0,367.0,,,,1490.0,509.0,0.3416107382550336,0.3416107382550336
123,Oakville School District,27.0,28.0,16.0,14.0,,,,136.0,88.0,0.6470588235294118,0.6470588235294118
124,Ocean Beach School District,81.0,82.0,82.0,57.0,,,,302.0,179.0,0.5927152317880795,0.5927152317880795
125,Ocosta School District,53.0,39.0,38.0,53.0,,,,284.0,222.0,0.7816901408450704,0.7816901408450704
126,Odessa School District,21.0,18.0,17.0,16.0,,,,105.0,36.0,0.34285714285714286,0.34285714285714286
127,Okanogan School District,82.0,88.0,73.0,68.0,,,,311.0,159.0,0.5112540192926045,0.5112540192926045
128,Olympia School District,823.0,870.0,844.0,839.0,,,,3376.0,743.0,0.22008293838862558,0.2439389713333382
129,Omak School District,791.0,644.0,452.0,362.0,,,,2250.0,1190.0,0.5288888888888889,0.5866601865055346
130,Onalaska School District,71.0,49.0,75.0,49.0,,,,244.0,130.0,0.5327868852459017,0.5327868852459017
131,Orcas Island School District,34.0,36.0,29.0,31.0,,,,130.0,59.0,0.45384615384615384,0.45384615384615384
132,Oroville School District,49.0,47.0,37.0,50.0,,,,262.0,187.0,0.7137404580152672,0.7137404580152672
133,Orting School District,213.0,191.0,188.0,184.0,,,,820.0,236.0,0.28780487804878047,0.27320359281437123
134,Othello School District,343.0,351.0,306.0,329.0,,,,1329.0,963.0,0.7246049661399548,0.7906622224749126
135,PRIDE Prep Charter School District,112.0,94.0,89.0,78.0,,,,718.0,414.0,0.5766016713091922,0.5766016713091922
136,Pasco School District,1472.0,1437.0,1333.0,1481.0,,,,5724.0,4026.0,0.7033542976939203,0.7273298830919649
137,Pateros School District,26.0,23.0,23.0,29.0,,,,160.0,118.0,0.7375,0.7375
138,Peninsula School District,743.0,744.0,744.0,724.0,,,,2955.0,483.0,0.1634517766497462,0.1634681718694314
139,Pomeroy School District,33.0,20.0,22.0,21.0,,,,145.0,74.0,0.5103448275862069,0.5103448275862069
140,Port Angeles School District,224.0,195.0,214.0,234.0,,,,868.0,363.0,0.4182027649769585,0.4182027649769585
141,Port Townsend School District,98.0,113.0,83.0,82.0,,,,376.0,162.0,0.4308510638297872,0.4308510638297872
142,Prescott School District,20.0,20.0,11.0,21.0,,,,112.0,97.0,0.8660714285714286,0.8660714285714286
143,Prosser School District,206.0,216.0,236.0,234.0,,,,892.0,581.0,0.6513452914798207,0.6513452914798207
144,Pullman School District,209.0,216.0,186.0,196.0,,,,807.0,197.0,0.24411400247831475,0.24411400247831475
145,Puyallup School District,6.0,1647.0,1684.0,1719.0,,,,5056.0,1665.0,0.3293117088607595,0.39572353576120267
146,Quillayute Valley School District,276.0,580.0,729.0,1086.0,,,,2671.0,1135.0,0.42493448146761514,0.5325784765411777
147,Quincy School District,234.0,191.0,216.0,194.0,,,,835.0,652.0,0.7808383233532934,0.7808383233532934
148,Rainier School District,61.0,77.0,60.0,44.0,,,,242.0,108.0,0.4462809917355372,0.4462809917355372
149,Raymond School District,47.0,46.0,46.0,40.0,,,,279.0,151.0,0.5412186379928315,0.5412186379928315
150,Reardan-Edwall School District,57.0,49.0,57.0,53.0,,,,388.0,135.0,0.3479381443298969,0.3479381443298969
151,Renton School District,1104.0,1099.0,1101.0,1183.0,,,,4487.0,2090.0,0.4657900601738355,0.5168581834789068
152,Republic School District,26.0,29.0,25.0,20.0,,,,100.0,63.0,0.63,0.63
153,Richland School District,1070.0,972.0,1048.0,1183.0,,,,4273.0,240.0,0.05616662766206412,0.08714550937819554
154,Ridgefield School District,272.0,218.0,259.0,229.0,,,,978.0,222.0,0.22699386503067484,0.22699386503067484
155,Riverside School District,111.0,99.0,112.0,105.0,,,,427.0,176.0,0.41217798594847777,0.41217798594847777
156,Riverview School District,243.0,259.0,201.0,244.0,,,,947.0,103.0,0.10876451953537487,0.10876451953537487
157,Rochester School District,162.0,156.0,161.0,154.0,,,,633.0,286.0,0.4518167456556082,0.4518167456556082
158,Royal School District,138.0,120.0,138.0,110.0,,,,506.0,270.0,0.5335968379446641,0.5335968379446641
