,LEAID,LEA_NAME,SCH_NAME,STUDENTS_IN_POVERTY,G09,G10,G11,G12,G13,UG,AE,TOTAL_STUDENTS,POVERTY_RATE
71,5301410,Clover Park School District,Lakes High School,555.0,334.0,306.0,310.0,270.0,,,,1220.0,0.45491803278688525
72,5301410,Clover Park School District,Alfaretta House,56.0,,,0.0,22.0,,,,150.0,0.37333333333333335
73,5301410,Clover Park School District,General William H. Harrison Preparatory School,448.0,110.0,86.0,65.0,58.0,,,,741.0,0.6045883940620783
74,5301410,Clover Park School District,CPSD Open Doors Program,147.0,0.0,1.0,25.0,178.0,,,,204.0,0.7205882352941176
75,5301440,Colfax School District,Colfax High School,68.0,42.0,50.0,44.0,49.0,,,,253.0,0.26877470355731226
76,5301470,College Place School District,College Place High School,255.0,125.0,130.0,129.0,123.0,,,,507.0,0.5029585798816568
77,5301590,Columbia (Walla Walla) School District,Columbia High School,108.0,67.0,46.0,50.0,47.0,,,,210.0,0.5142857142857142
78,5301630,Colville School District,Colville Senior High School,214.0,118.0,143.0,135.0,111.0,,,,507.0,0.42209072978303747
79,5301660,Concrete School District,Concrete High School,152.0,45.0,20.0,29.0,39.0,,,,203.0,0.7487684729064039
80,5301800,Coupeville School District,Coupeville High School,73.0,77.0,94.0,53.0,61.0,,,,285.0,0.256140350877193
81,5301920,Cusick School District,Cusick Jr Sr High School,98.0,20.0,15.0,24.0,15.0,,,,127.0,0.7716535433070866
82,5301980,Darrington School District,Darrington High School,58.0,26.0,31.0,33.0,29.0,,,,119.0,0.48739495798319327
83,5302010,Davenport School District,Davenport Senior High School,125.0,43.0,44.0,45.0,40.0,,,,297.0,0.4208754208754209
84,5302040,Dayton School District,Dayton High School,53.0,33.0,21.0,24.0,33.0,,,,111.0,0.4774774774774775
85,5302070,Deer Park School District,Deer Park High School,318.0,144.0,175.0,159.0,191.0,,,,669.0,0.47533632286995514
86,5302280,East Valley School District (Spokane),East Valley High School,376.0,199.0,211.0,206.0,205.0,,,,821.0,0.4579780755176614
87,5302310,Eastmont School District,Eastmont Senior High,752.0,1.0,452.0,449.0,484.0,,,,1386.0,0.5425685425685426
88,5302370,Eatonville School District,Eatonville High School,181.0,156.0,149.0,128.0,114.0,,,,547.0,0.33089579524680074
89,5302400,Edmonds School District,Scriber Lake High School,110.0,8.0,25.0,48.0,113.0,,,,194.0,0.5670103092783505
