LEAID,LEA_NAME,SCH_NAME,GRADE_LEVEL,ENROLLMENT,DISTRICT_POVERTY_RATE
5300390,Bellevue School District,International School,UG,,0.149
5300390,Bellevue School District,Newport Senior High School,09,437.0,0.149
5300390,Bellevue School District,Newport Senior High School,10,428.0,0.149
5300390,Bellevue School District,Newport Senior High School,11,450.0,0.149
5300390,Bellevue School District,Newport Senior High School,12,451.0,0.149
5300390,Bellevue School District,Newport Senior High School,AE,,0.149
5300390,Bellevue School District,Newport Senior High School,UG,,0.149
5300390,Bellevue School District,Sammamish Senior High,09,279.0,0.149
5300390,Bellevue School District,Sammamish Senior High,10,346.0,0.149
5300390,Bellevue School District,Sammamish Senior High,11,320.0,0.149
5300390,Bellevue School District,Sammamish Senior High,12,301.0,0.149
5300390,Bellevue School District,Sammamish Senior High,AE,,0.149
5300390,Bellevue School District,Sammamish Senior High,UG,,0.149
5300420,Bellingham School District,Bellingham High School,09,305.0,0.299
5300420,Bellingham School District,Bellingham High School,10,315.0,0.299
5300420,Bellingham School District,Bellingham High School,11,283.0,0.299
5300420,Bellingham School District,Bellingham High School,12,291.0,0.299
5300420,Bellingham School District,Bellingham High School,AE,,0.299
5300420,Bellingham School District,Bellingham High School,UG,,0.299
5300420,Bellingham School District,Options High School,09,13.0,0.299
5300420,Bellingham School District,Options High School,10,47.0,0.299
5300420,Bellingham School District,Options High School,11,45.0,0.299
5300420,Bellingham School District,Options High School,12,80.0,0.299
5300420,Bellingham School District,Options High School,AE,,0.299
5300420,Bellingham School District,Options High School,UG,,0.299
5300420,Bellingham School District,Sehome High School,09,315.0,0.299
5300420,Bellingham School District,Sehome High School,10,286.0,0.299
5300420,Bellingham School District,Sehome High School,11,273.0,0.299
5300420,Bellingham School District,Sehome High School,12,308.0,0.299
5300420,Bellingham School District,Sehome High School,AE,,0.299
5300420,Bellingham School District,Sehome High School,UG,,0.299
5300420,Bellingham School District,Squalicum High School,09,326.0,0.299
5300420,Bellingham School District,Squalicum High School,10,318.0,0.299
5300420,Bellingham School District,Squalicum High School,11,286.0,0.299
5300420,Bellingham School District,Squalicum High School,12,361.0,0.299
5300420,Bellingham School District,Squalicum High School,AE,,0.299
5300420,Bellingham School District,Squalicum High School,UG,,0.299
5300480,Bethel School District,Acceleration Academy,09,0.0,0.445
5300480,Bethel School District,Acceleration Academy,10,1.0,0.445
5300480,Bethel School District,Acceleration Academy,11,12.0,0.445
5300480,Bethel School District,Acceleration Academy,12,153.0,0.445
5300480,Bethel School District,Acceleration Academy,AE,,0.445
5300480,Bethel School District,Acceleration Academy,UG,,0.445
5300480,Bethel School District,Bethel High School,09,452.0,0.445
5300480,Bethel School District,Bethel High School,10,456.0,0.445
5300480,Bethel School District,Bethel High School,11,396.0,0.445
5300480,Bethel School District,Bethel High School,12,375.0,0.445
5300480,Bethel School District,Bethel High School,AE,,0.445
5300480,Bethel School District,Bethel High School,UG,,0.445
5300480,Bethel School District,Challenger High School,09,12.0,0.445
5300480,Bethel School District,Challenger High School,10,33.0,0.445
5300480,Bethel School District,Challenger High School,11,72.0,0.445
5300480,Bethel School District,Challenger High School,12,137.0,0.445
5300480,Bethel School District,Challenger High School,AE,,0.445
5300480,Bethel School District,Challenger High School,UG,,0.445
5300480,Bethel School District,Graham Kapowsin High School,09,522.0,0.445
5300480,Bethel School District,Graham Kapowsin High School,10,460.0,0.445
5300480,Bethel School District,Graham Kapowsin High School,11,451.0,0.445
5300480,Bethel School District,Graham Kapowsin High School,12,417.0,0.445
5300480,Bethel School District,Graham Kapowsin High School,AE,,0.445
5300480,Bethel School District,Graham Kapowsin High School,UG,,0.445
5300480,Bethel School District,Pierce County Skills Center,09,0.0,0.445
5300480,Bethel School District,Pierce County Skills Center,10,0.0,0.445
5300480,Bethel School District,Pierce County Skills Center,11,91.0,0.445
5300480,Bethel School District,Pierce County Skills Center,12,117.0,0.445
5300480,Bethel School District,Pierce County Skills Center,AE,,0.445
5300480,Bethel School District,Pierce County Skills Center,UG,,0.445
5300480,Bethel School District,Spanaway Lake High School,09,444.0,0.445
5300480,Bethel School District,Spanaway Lake High School,10,411.0,0.445
5300480,Bethel School District,Spanaway Lake High School,11,344.0,0.445
5300480,Bethel School District,Spanaway Lake High School,12,341.0,0.445
5300480,Bethel School District,Spanaway Lake High School,AE,,0.445
5300480,Bethel School District,Spanaway Lake High School,UG,,0.445
5300570,Blaine School District,Blaine High School,09,163.0,0.454
5300570,Blaine School District,Blaine High School,10,176.0,0.454
5300570,Blaine School District,Blaine High School,11,157.0,0.454
5300570,Blaine School District,Blaine High School,12,141.0,0.454
5300570,Blaine School District,Blaine High School,AE,,0.454
5300570,Blaine School District,Blaine High School,UG,,0.454
5300660,Bremerton School District,Bremerton High School,09,312.0,0.594
5300660,Bremerton School District,Bremerton High School,10,301.0,0.594
5300660,Bremerton School District,Bremerton High School,11,285.0,0.594
5300660,Bremerton School District,Bremerton High School,12,297.0,0.594
5300660,Bremerton School District,Bremerton High School,AE,,0.594
5300660,Bremerton School District,Bremerton High School,UG,,0.594
5300690,Brewster School District,Brewster High School,09,79.0,0.835
5300690,Brewster School District,Brewster High School,10,73.0,0.835
5300690,Brewster School District,Brewster High School,11,63.0,0.835
5300690,Brewster School District,Brewster High School,12,58.0,0.835
5300690,Brewster School District,Brewster High School,AE,,0.835
5300690,Brewster School District,Brewster High School,UG,,0.835
5300720,Bridgeport School District,Bridgeport High School,09,55.0,0.949
5300720,Bridgeport School District,Bridgeport High School,10,54.0,0.949
5300720,Bridgeport School District,Bridgeport High School,11,56.0,0.949
5300720,Bridgeport School District,Bridgeport High School,12,52.0,0.949
5300720,Bridgeport School District,Bridgeport High School,AE,,0.949
5300720,Bridgeport School District,Bridgeport High School,UG,,0.949
5300780,Burlington-Edison School District,Burlington Edison High School,09,292.0,0.462
5300780,Burlington-Edison School District,Burlington Edison High School,10,293.0,0.462
5300780,Burlington-Edison School District,Burlington Edison High School,11,292.0,0.462
5300780,Burlington-Edison School District,Burlington Edison High School,12,256.0,0.462
5300780,Burlington-Edison School District,Burlington Edison High School,AE,,0.462
5300780,Burlington-Edison School District,Burlington Edison High School,UG,,0.462
